PaymentDate,OrderNumber,CustomerType,CustomerName,BranchSubCounty,BranchCounty,ProductName,ProductCategoryName,QuantityOrdered,CostOfProductionPerUnit,SellingPricePerUnit,ProfitPerUnit,PercentageProfitPerUnit
01-07-25,3937,Business,[Business] InterContinental Hotel,Kamukunji,Nairobi,Kuku na Wali,Meat-Based Dishes,5,100,200,100,100
01-07-25,3937,Business,[Business] InterContinental Hotel,Kamukunji,Nairobi,Githeri,Legume-Based Dishes,3,30,70,40,133.33
01-07-25,3937,Business,[Business] InterContinental Hotel,Kamukunji,Nairobi,Fish Curry,Fish Dishes,6,150,300,150,100
01-07-25,4211,Business,[Business] Diani Retreat,Roy Sambu,Nairobi,Sukuma Wiki,Vegetable-Based Dishes,4,10,20,10,100
01-07-25,4720,Individual,Patrick Omondi,Kilimani,Nairobi,Maharagwe na Wali,Legume-Based Dishes,3,30,60,30,100
01-07-25,4720,Individual,Patrick Omondi,Kilimani,Nairobi,Mbaazi,Legume-Based Dishes,1,30,60,30,100
01-07-25,4720,Individual,Patrick Omondi,Kilimani,Nairobi,Matoke na Wali,Soup/Stew Dishes,4,30,70,40,133.33
01-07-25,4860,Business,[Business] Safari Inn,Mathare,Nairobi,Maharagwe ya Nazi,Legume-Based Dishes,1,30,60,30,100
01-07-25,4860,Business,[Business] Safari Inn,Mathare,Nairobi,Nyama na Maharagwe,Meat-Based Dishes,3,100,200,100,100
01-07-25,4889,Business,[Business] Baobab Retreat,Kasarani,Nairobi,Potjiekos,Combination Plates,4,50,100,50,100
01-07-25,4889,Business,[Business] Baobab Retreat,Kasarani,Nairobi,Nyama na Matoke,Meat-Based Dishes,6,100,200,100,100
01-07-25,4889,Business,[Business] Baobab Retreat,Kasarani,Nairobi,Misir Wat,African Cultural Specials,6,30,60,30,100
02-07-25,190,Business,[Business] Ole Sereni Haven,Kesses,Uasin Gishu,Nyama Choma,Meat-Based Dishes,1,150,300,150,100
02-07-25,331,Business,[Business] Ole Sereni Suites,Westlands,Nairobi,Firfir,African Cultural Specials,8,30,70,40,133.33
02-07-25,331,Business,[Business] Ole Sereni Suites,Westlands,Nairobi,Sosaties,Combination Plates,1,50,100,50,100
02-07-25,341,Business,[Business] Sarova Inn,Embakasi,Nairobi,Moi Moi,Combination Plates,1,20,50,30,150
02-07-25,341,Business,[Business] Sarova Inn,Embakasi,Nairobi,Matoke na Nyama,Soup/Stew Dishes,3,30,70,40,133.33
02-07-25,587,Individual,Amina Omar,Makadara,Nairobi,Nyama na Ugali,Meat-Based Dishes,8,100,200,100,100
02-07-25,587,Individual,Amina Omar,Makadara,Nairobi,Banku,Combination Plates,2,30,70,40,133.33
02-07-25,609,Individual,Alaine Lumumba,Makadara,Nairobi,Supa ya Ndizi,Soup/Stew Dishes,5,30,70,40,133.33
02-07-25,609,Individual,Alaine Lumumba,Makadara,Nairobi,Wali wa Kukaanga,Rice Dishes,5,30,70,40,133.33
02-07-25,609,Individual,Alaine Lumumba,Makadara,Nairobi,Pap,Combination Plates,1,10,30,20,200
02-07-25,683,Business,[Business] Boma Haven,Starehe,Nairobi,Matoke na Maharagwe,Soup/Stew Dishes,3,30,70,40,133.33
02-07-25,683,Business,[Business] Boma Haven,Starehe,Nairobi,Supu ya Kuku na Wali,Soup/Stew Dishes,7,70,150,80,114.29
02-07-25,683,Business,[Business] Boma Haven,Starehe,Nairobi,Supu ya Nyama na Wali,Soup/Stew Dishes,7,70,150,80,114.29
02-07-25,715,Business,[Business] Diani Resort,Mathare,Nairobi,Pilau,Rice Dishes,8,100,200,100,100
02-07-25,715,Business,[Business] Diani Resort,Mathare,Nairobi,Doro Wat,African Cultural Specials,5,150,300,150,100
02-07-25,1608,Individual,Mutiso Yusuf,Embakasi,Nairobi,Mutura,Meat-Based Dishes,3,70,150,80,114.29
02-07-25,1608,Individual,Mutiso Yusuf,Embakasi,Nairobi,Sukuma Wiki,Vegetable-Based Dishes,1,10,20,10,100
02-07-25,2330,Business,[Business] Serena Haven,Kilimani,Nairobi,Maharagwe na Wali,Legume-Based Dishes,6,30,60,30,100
02-07-25,2330,Business,[Business] Serena Haven,Kilimani,Nairobi,Wali wa Pilau,Rice Dishes,7,30,70,40,133.33
02-07-25,3259,Individual,Marie Mandela,Dagoretti,Nairobi,Wali wa Pilau,Rice Dishes,4,30,70,40,133.33
02-07-25,3259,Individual,Marie Mandela,Dagoretti,Nairobi,Kuku na Chapati,Meat-Based Dishes,4,100,200,100,100
02-07-25,5053,Individual,Pierre Ibrahim,Kesses,Uasin Gishu,Wali wa Nazi na Maharagwe,Rice Dishes,6,30,70,40,133.33
02-07-25,5053,Individual,Pierre Ibrahim,Kesses,Uasin Gishu,Kitfo,African Cultural Specials,3,200,400,200,100
03-07-25,321,Business,[Business] Ole Sereni Palace,Starehe,Nairobi,Supu ya Kuku na Wali,Soup/Stew Dishes,3,70,150,80,114.29
03-07-25,321,Business,[Business] Ole Sereni Palace,Starehe,Nairobi,Maharagwe na Matoke,Legume-Based Dishes,1,30,60,30,100
03-07-25,1401,Business,[Business] Ole Sereni Inn,Makadara,Nairobi,Viazi Karai,Fried Dishes,6,10,30,20,200
03-07-25,1472,Business,[Business] Swahili Manor,Kibra,Nairobi,Kelewele,Combination Plates,7,20,50,30,150
03-07-25,1653,Business,[Business] Baobab Hotel,Dagoretti,Nairobi,Banku,Combination Plates,8,30,70,40,133.33
03-07-25,1653,Business,[Business] Baobab Hotel,Dagoretti,Nairobi,Maharagwe na Sukuma,Legume-Based Dishes,8,30,60,30,100
03-07-25,1653,Business,[Business] Baobab Hotel,Dagoretti,Nairobi,Pilau,Rice Dishes,8,100,200,100,100
03-07-25,2284,Business,[Business] Serena Palace,Nyali,Mombasa,Wali wa Nazi na Nyama,Rice Dishes,1,30,70,40,133.33
03-07-25,2284,Business,[Business] Serena Palace,Nyali,Mombasa,Wali wa Nazi na Nyama,Rice Dishes,4,30,70,40,133.33
03-07-25,2284,Business,[Business] Serena Palace,Nyali,Mombasa,Maharagwe na Chapati,Legume-Based Dishes,2,30,60,30,100
03-07-25,2292,Individual,Jean Kiplagat,Langata,Nairobi,Supu ya Samaki,Fish Dishes,4,70,150,80,114.29
03-07-25,2640,Business,[Business] Neptune Palace,Kibra,Nairobi,Banku,Combination Plates,3,30,70,40,133.33
03-07-25,2752,Business,[Business] Tamarind Palace,Githurai,Nairobi,Maharagwe,Legume-Based Dishes,8,30,60,30,100
03-07-25,2752,Business,[Business] Tamarind Palace,Githurai,Nairobi,Malva Pudding,Sweet Snacks/Desserts,4,30,70,40,133.33
03-07-25,2752,Business,[Business] Tamarind Palace,Githurai,Nairobi,Chapati,Staple Foods,8,5,20,15,300
03-07-25,3110,Individual,Claude Mwangi,Kilimani,Nairobi,Kuku na Chapati,Meat-Based Dishes,8,100,200,100,100
03-07-25,3110,Individual,Claude Mwangi,Kilimani,Nairobi,Kuku na Ugali,Meat-Based Dishes,2,100,200,100,100
03-07-25,3110,Individual,Claude Mwangi,Kilimani,Nairobi,Nyama na Sukuma,Meat-Based Dishes,5,100,200,100,100
03-07-25,3204,Business,[Business] Swahili Suites,Roy Sambu,Nairobi,Supu ya Samaki,Fish Dishes,7,70,150,80,114.29
03-07-25,3204,Business,[Business] Swahili Suites,Roy Sambu,Nairobi,Mandazi,Sweet Snacks/Desserts,5,5,20,15,300
03-07-25,3204,Business,[Business] Swahili Suites,Roy Sambu,Nairobi,Tibs,African Cultural Specials,3,100,200,100,100
03-07-25,3238,Individual,Njeri Lumumba,Kibra,Nairobi,Bobotie,Combination Plates,8,50,100,50,100
03-07-25,3238,Individual,Njeri Lumumba,Kibra,Nairobi,Ndengu,Legume-Based Dishes,5,30,60,30,100
03-07-25,3238,Individual,Njeri Lumumba,Kibra,Nairobi,Tibs,African Cultural Specials,4,100,200,100,100
03-07-25,3265,Individual,Alain Munywe,Dagoretti,Nairobi,Maharagwe na Matoke,Legume-Based Dishes,5,30,60,30,100
03-07-25,3265,Individual,Alain Munywe,Dagoretti,Nairobi,Viazi Karai,Fried Dishes,8,10,30,20,200
03-07-25,3275,Individual,Michelle Hassan,Kilimani,Nairobi,Mahamri,Sweet Snacks/Desserts,5,5,20,15,300
03-07-25,3275,Individual,Michelle Hassan,Kilimani,Nairobi,Kuku na Matoke,Meat-Based Dishes,5,100,200,100,100
03-07-25,3275,Individual,Michelle Hassan,Kilimani,Nairobi,Samosa,Fried Dishes,8,20,50,30,150
03-07-25,3483,Individual,Njeri Osman,Nyeri Central,Nyeri,Potjiekos,Combination Plates,2,50,100,50,100
03-07-25,3497,Individual,Alaine Hassan,Nakuru Town East,Nakuru,Supu ya Kuku,Soup/Stew Dishes,3,70,150,80,114.29
03-07-25,3497,Individual,Alaine Hassan,Nakuru Town East,Nakuru,Atayef,Sweet Snacks/Desserts,7,10,30,20,200
03-07-25,4370,Individual,Mutiso Nkurunziza,Kasarani,Nairobi,Fufu,Combination Plates,3,20,50,30,150
03-07-25,4370,Individual,Mutiso Nkurunziza,Kasarani,Nairobi,Nyama na Sukuma,Meat-Based Dishes,5,100,200,100,100
03-07-25,4480,Individual,Claude Mutombo,Westlands,Nairobi,Wali wa Nazi na Maharagwe,Rice Dishes,7,30,70,40,133.33
03-07-25,4480,Individual,Claude Mutombo,Westlands,Nairobi,Maharagwe,Legume-Based Dishes,8,30,60,30,100
03-07-25,4674,Individual,Mutiso Munyua,Mathare,Nairobi,Viazi Karai,Fried Dishes,2,10,30,20,200
03-07-25,4674,Individual,Mutiso Munyua,Mathare,Nairobi,Malva Pudding,Sweet Snacks/Desserts,8,30,70,40,133.33
03-07-25,4674,Individual,Mutiso Munyua,Mathare,Nairobi,Pap,Combination Plates,1,10,30,20,200
03-07-25,4693,Individual,Paul Kabila,Makadara,Nairobi,Wali wa Nazi na Samaki,Rice Dishes,1,30,70,40,133.33
03-07-25,4693,Individual,Paul Kabila,Makadara,Nairobi,Matoke na Nyama,Soup/Stew Dishes,3,30,70,40,133.33
03-07-25,4693,Individual,Paul Kabila,Makadara,Nairobi,Supu ya Kuku na Wali,Soup/Stew Dishes,6,70,150,80,114.29
03-07-25,4962,Individual,Claude Ochieng,Dagoretti,Nairobi,Biltong,Combination Plates,4,100,200,100,100
03-07-25,4962,Individual,Claude Ochieng,Dagoretti,Nairobi,Kuku Fry,Meat-Based Dishes,7,150,300,150,100
03-07-25,4962,Individual,Claude Ochieng,Dagoretti,Nairobi,Potjiekos,Combination Plates,2,50,100,50,100
04-07-25,158,Business,[Business] Baobab Haven,Kilimani,Nairobi,Sukuma na Ugali,Vegetable-Based Dishes,3,20,50,30,150
04-07-25,158,Business,[Business] Baobab Haven,Kilimani,Nairobi,Maharagwe ya Nazi,Legume-Based Dishes,3,30,60,30,100
04-07-25,158,Business,[Business] Baobab Haven,Kilimani,Nairobi,Matoke na Sukuma,Soup/Stew Dishes,8,30,70,40,133.33
04-07-25,375,Individual,Pierrette Omondi,Makadara,Nairobi,Mbuzi Choma,Meat-Based Dishes,4,200,350,150,75
04-07-25,375,Individual,Pierrette Omondi,Makadara,Nairobi,Waakye,Combination Plates,3,30,70,40,133.33
04-07-25,1241,Business,[Business] Neptune Suites,Kesses,Uasin Gishu,Nyama na Sukuma,Meat-Based Dishes,3,100,200,100,100
04-07-25,1388,Individual,Marie Omar,Nakuru Town East,Nakuru,Bobotie,Combination Plates,3,50,100,50,100
04-07-25,1388,Individual,Marie Omar,Nakuru Town East,Nakuru,Maharagwe na Matoke,Legume-Based Dishes,5,30,60,30,100
04-07-25,1443,Individual,Claude Mutombo,Ruaraka,Nairobi,Supu ya Nyama,Soup/Stew Dishes,8,70,150,80,114.29
04-07-25,1443,Individual,Claude Mutombo,Ruaraka,Nairobi,Wali wa Nazi,Rice Dishes,2,30,70,40,133.33
04-07-25,1443,Individual,Claude Mutombo,Ruaraka,Nairobi,Nyama Stew,Meat-Based Dishes,4,100,200,100,100
04-07-25,1576,Individual,Mwangi Kiplagat,Langata,Nairobi,Maharagwe ya Nazi,Legume-Based Dishes,1,30,60,30,100
04-07-25,1576,Individual,Mwangi Kiplagat,Langata,Nairobi,Kuku Choma,Meat-Based Dishes,1,150,300,150,100
04-07-25,1576,Individual,Mwangi Kiplagat,Langata,Nairobi,Wali wa Kukaanga,Rice Dishes,8,30,70,40,133.33
04-07-25,1899,Business,[Business] Tamarind Manor,Langata,Nairobi,Nyama na Matoke,Meat-Based Dishes,7,100,200,100,100
04-07-25,1899,Business,[Business] Tamarind Manor,Langata,Nairobi,Mbaazi,Legume-Based Dishes,7,30,60,30,100
04-07-25,1899,Business,[Business] Tamarind Manor,Langata,Nairobi,Nyama Choma,Meat-Based Dishes,6,150,300,150,100
04-07-25,2292,Individual,Jean Kiplagat,Langata,Nairobi,Supu ya Samaki,Fish Dishes,4,70,150,80,114.29
04-07-25,2702,Individual,Claudine Nkurunziza,Mathare,Nairobi,Sukuma na Ugali,Vegetable-Based Dishes,1,20,50,30,150
04-07-25,3100,Business,[Business] Baobab Palace,Kamukunji,Nairobi,Banga Soup,Combination Plates,7,50,100,50,100
04-07-25,3100,Business,[Business] Baobab Palace,Kamukunji,Nairobi,Matoke na Maharagwe,Soup/Stew Dishes,1,30,70,40,133.33
04-07-25,3100,Business,[Business] Baobab Palace,Kamukunji,Nairobi,Maharagwe na Wali,Legume-Based Dishes,6,30,60,30,100
04-07-25,3446,Business,[Business] Neptune Hotel,Kisumu Central,Kisumu,Supu ya Kuku na Wali,Soup/Stew Dishes,3,70,150,80,114.29
04-07-25,3446,Business,[Business] Neptune Hotel,Kisumu Central,Kisumu,Pap,Combination Plates,5,10,30,20,200
04-07-25,3621,Individual,Felicite Omondi,Kisumu Central,Kisumu,Kuku na Sukuma,Meat-Based Dishes,1,100,200,100,100
04-07-25,3621,Individual,Felicite Omondi,Kisumu Central,Kisumu,Kuku na Chapati,Meat-Based Dishes,2,100,200,100,100
04-07-25,3621,Individual,Felicite Omondi,Kisumu Central,Kisumu,Mbaazi,Legume-Based Dishes,5,30,60,30,100
04-07-25,3845,Individual,Emmanuel Zuma,Ruaraka,Nairobi,Sosaties,Combination Plates,6,50,100,50,100
04-07-25,3845,Individual,Emmanuel Zuma,Ruaraka,Nairobi,Maharagwe na Chapati,Legume-Based Dishes,1,30,60,30,100
04-07-25,3845,Individual,Emmanuel Zuma,Ruaraka,Nairobi,Kuku na Matoke,Meat-Based Dishes,7,100,200,100,100
04-07-25,4133,Individual,Michel Mandela,Kesses,Uasin Gishu,Kuku na Maharagwe,Meat-Based Dishes,4,100,200,100,100
04-07-25,4133,Individual,Michel Mandela,Kesses,Uasin Gishu,Matoke na Maharagwe,Soup/Stew Dishes,2,30,70,40,133.33
04-07-25,4236,Individual,Otieno Munyuli,Westlands,Nairobi,Uji,Staple Foods,6,10,30,20,200
04-07-25,4501,Individual,Pauline Ahmed,Nakuru Town East,Nakuru,Nyama na Ugali,Meat-Based Dishes,2,100,200,100,100
04-07-25,4501,Individual,Pauline Ahmed,Nakuru Town East,Nakuru,Wali wa Nazi na Nyama,Rice Dishes,3,30,70,40,133.33
04-07-25,4759,Business,[Business] PrideInn Lodge,Makadara,Nairobi,Wali wa Nazi na Kuku,Rice Dishes,3,30,70,40,133.33
04-07-25,4759,Business,[Business] PrideInn Lodge,Makadara,Nairobi,Kuku Fry,Meat-Based Dishes,7,150,300,150,100
04-07-25,4759,Business,[Business] PrideInn Lodge,Makadara,Nairobi,Maharagwe na Wali,Legume-Based Dishes,7,30,60,30,100
04-07-25,4962,Individual,Claude Ochieng,Dagoretti,Nairobi,Potjiekos,Combination Plates,2,50,100,50,100
04-07-25,4962,Individual,Claude Ochieng,Dagoretti,Nairobi,Kuku Fry,Meat-Based Dishes,7,150,300,150,100
04-07-25,4962,Individual,Claude Ochieng,Dagoretti,Nairobi,Biltong,Combination Plates,4,100,200,100,100
04-07-25,5051,Individual,Pauline Ahmed,Embakasi,Nairobi,Egusi Soup,Combination Plates,6,40,80,40,100
04-07-25,5051,Individual,Pauline Ahmed,Embakasi,Nairobi,Mukimo,Legume-Based Dishes,6,40,80,40,100
04-07-25,5051,Individual,Pauline Ahmed,Embakasi,Nairobi,Kaimati,Sweet Snacks/Desserts,7,5,20,15,300
05-07-25,32,Business,[Business] Boma Suites,Nyeri Central,Nyeri,Wali wa Pilau,Rice Dishes,1,30,70,40,133.33
05-07-25,32,Business,[Business] Boma Suites,Nyeri Central,Nyeri,Kachumbari,Vegetable-Based Dishes,7,10,30,20,200
05-07-25,32,Business,[Business] Boma Suites,Nyeri Central,Nyeri,Nyama Stew,Meat-Based Dishes,3,100,200,100,100
05-07-25,110,Individual,Emmanuelle Ibrahim,Kesses,Uasin Gishu,Doro Wat,African Cultural Specials,7,150,300,150,100
05-07-25,110,Individual,Emmanuelle Ibrahim,Kesses,Uasin Gishu,Wali wa Nazi na Samaki,Rice Dishes,1,30,70,40,133.33
05-07-25,110,Individual,Emmanuelle Ibrahim,Kesses,Uasin Gishu,Kuku Choma,Meat-Based Dishes,3,150,300,150,100
05-07-25,464,Individual,Pauline Munyao,Nyali,Mombasa,Bunny Chow,Combination Plates,4,40,80,40,100
05-07-25,464,Individual,Pauline Munyao,Nyali,Mombasa,Wali wa Pilau,Rice Dishes,4,30,70,40,133.33
05-07-25,826,Individual,Alaine Ochieng,Starehe,Nairobi,Mukimo,Legume-Based Dishes,1,40,80,40,100
05-07-25,1425,Business,[Business] Neptune Residences,Kasarani,Nairobi,Nyama na Wali,Meat-Based Dishes,8,100,200,100,100
05-07-25,1466,Individual,Jacqueline Wanyama,Mathare,Nairobi,Kachumbari,Vegetable-Based Dishes,5,10,30,20,200
05-07-25,1466,Individual,Jacqueline Wanyama,Mathare,Nairobi,Tibs,African Cultural Specials,4,100,200,100,100
05-07-25,1492,Individual,Wanjiku Kabongo,Kesses,Uasin Gishu,Kuku Choma,Meat-Based Dishes,5,150,300,150,100
05-07-25,1592,Individual,Joseph Munyuli,Embakasi,Nairobi,Supa ya Ndizi,Soup/Stew Dishes,3,30,70,40,133.33
05-07-25,1592,Individual,Joseph Munyuli,Embakasi,Nairobi,Kuku na Matoke,Meat-Based Dishes,3,100,200,100,100
05-07-25,2330,Business,[Business] Serena Haven,Kilimani,Nairobi,Wali wa Pilau,Rice Dishes,7,30,70,40,133.33
05-07-25,2330,Business,[Business] Serena Haven,Kilimani,Nairobi,Maharagwe na Wali,Legume-Based Dishes,6,30,60,30,100
05-07-25,2493,Business,[Business] Hilton Suites,Kisumu Central,Kisumu,Supu ya Kuku na Wali,Soup/Stew Dishes,8,70,150,80,114.29
05-07-25,2493,Business,[Business] Hilton Suites,Kisumu Central,Kisumu,Maharagwe na Matoke,Legume-Based Dishes,7,30,60,30,100
05-07-25,2493,Business,[Business] Hilton Suites,Kisumu Central,Kisumu,Tibs,African Cultural Specials,8,100,200,100,100
05-07-25,2493,Business,[Business] Hilton Suites,Kisumu Central,Kisumu,Tibs,African Cultural Specials,8,100,200,100,100
05-07-25,2493,Business,[Business] Hilton Suites,Kisumu Central,Kisumu,Maharagwe na Matoke,Legume-Based Dishes,7,30,60,30,100
05-07-25,2493,Business,[Business] Hilton Suites,Kisumu Central,Kisumu,Supu ya Kuku na Wali,Soup/Stew Dishes,8,70,150,80,114.29
05-07-25,2526,Individual,Pierre Ibrahim,Kesses,Uasin Gishu,Wali wa Pilau,Rice Dishes,1,30,70,40,133.33
05-07-25,2570,Individual,Joseph Ali,Kisumu Central,Kisumu,Supu ya Mbuzi,Soup/Stew Dishes,6,70,150,80,114.29
05-07-25,2570,Individual,Joseph Ali,Kisumu Central,Kisumu,Gomen,African Cultural Specials,4,20,50,30,150
05-07-25,2570,Individual,Joseph Ali,Kisumu Central,Kisumu,Bunny Chow,Combination Plates,2,40,80,40,100
05-07-25,2911,Business,[Business] Hemingways Suites,Mathare,Nairobi,Supu ya Kuku na Wali,Soup/Stew Dishes,3,70,150,80,114.29
05-07-25,2911,Business,[Business] Hemingways Suites,Mathare,Nairobi,Kitfo,African Cultural Specials,8,200,400,200,100
05-07-25,2911,Business,[Business] Hemingways Suites,Mathare,Nairobi,Supu ya Nyama na Wali,Soup/Stew Dishes,1,70,150,80,114.29
05-07-25,2976,Individual,Jacqueline Mandela,Kamukunji,Nairobi,Mutura,Meat-Based Dishes,5,70,150,80,114.29
05-07-25,2976,Individual,Jacqueline Mandela,Kamukunji,Nairobi,Akara,Combination Plates,1,20,50,30,150
05-07-25,3041,Business,[Business] Swahili Resort,Dagoretti,Nairobi,Nyama na Ugali,Meat-Based Dishes,2,100,200,100,100
05-07-25,3041,Business,[Business] Swahili Resort,Dagoretti,Nairobi,Nyama na Matoke,Meat-Based Dishes,4,100,200,100,100
05-07-25,3041,Business,[Business] Swahili Resort,Dagoretti,Nairobi,Omena,Fish Dishes,7,30,70,40,133.33
05-07-25,3065,Business,[Business] Voyager Retreat,Starehe,Nairobi,Mishkaki,Meat-Based Dishes,8,100,200,100,100
05-07-25,3070,Business,[Business] Voyager Lodge,Kisumu Central,Kisumu,Bobotie,Combination Plates,1,50,100,50,100
05-07-25,3070,Business,[Business] Voyager Lodge,Kisumu Central,Kisumu,Nyama na Chapati,Meat-Based Dishes,7,100,200,100,100
05-07-25,3112,Business,[Business] Severin Resort,Kesses,Uasin Gishu,Potjiekos,Combination Plates,8,50,100,50,100
05-07-25,3130,Business,[Business] Villa Rosa Inn,Githurai,Nairobi,Boerewors,Combination Plates,5,50,100,50,100
05-07-25,3130,Business,[Business] Villa Rosa Inn,Githurai,Nairobi,Kuku Choma,Meat-Based Dishes,1,150,300,150,100
05-07-25,3130,Business,[Business] Villa Rosa Inn,Githurai,Nairobi,Tibs,African Cultural Specials,4,100,200,100,100
05-07-25,3175,Business,[Business] Severin Retreat,Roy Sambu,Nairobi,Maharagwe na Sukuma,Legume-Based Dishes,8,30,60,30,100
05-07-25,3205,Individual,Amina Mutombo,Langata,Nairobi,Fufu,Combination Plates,6,20,50,30,150
05-07-25,3205,Individual,Amina Mutombo,Langata,Nairobi,Supu ya Kuku na Wali,Soup/Stew Dishes,4,70,150,80,114.29
05-07-25,3595,Business,[Business] Sarova Inn,Nakuru Town East,Nakuru,Chakalaka,Combination Plates,8,20,50,30,150
05-07-25,3595,Business,[Business] Sarova Inn,Nakuru Town East,Nakuru,Nyama na Chapati,Meat-Based Dishes,1,100,200,100,100
05-07-25,3595,Business,[Business] Sarova Inn,Nakuru Town East,Nakuru,Maharagwe,Legume-Based Dishes,3,30,60,30,100
05-07-25,3679,Business,[Business] Fairmont Palace,Nakuru Town East,Nakuru,Fufu,Combination Plates,6,20,50,30,150
05-07-25,3679,Business,[Business] Fairmont Palace,Nakuru Town East,Nakuru,Supu ya Kuku na Wali,Soup/Stew Dishes,6,70,150,80,114.29
05-07-25,3845,Individual,Emmanuel Zuma,Ruaraka,Nairobi,Sosaties,Combination Plates,6,50,100,50,100
05-07-25,3845,Individual,Emmanuel Zuma,Ruaraka,Nairobi,Maharagwe na Chapati,Legume-Based Dishes,1,30,60,30,100
05-07-25,3845,Individual,Emmanuel Zuma,Ruaraka,Nairobi,Kuku na Matoke,Meat-Based Dishes,7,100,200,100,100
05-07-25,4140,Business,[Business] Hilton Suites,Kesses,Uasin Gishu,Kuku na Matoke,Meat-Based Dishes,3,100,200,100,100
05-07-25,4312,Business,[Business] Hilton Manor,Ruaraka,Nairobi,Maharagwe ya Nazi,Legume-Based Dishes,8,30,60,30,100
05-07-25,4312,Business,[Business] Hilton Manor,Ruaraka,Nairobi,Omena,Fish Dishes,4,30,70,40,133.33
